primitive,stage,split,device,physical_coordinate,input_code,ideal_variable,sample_count,mean,variance,miss_rate,multiple_spike_rate,saturation_rate
phi-np,dynamic,calibration,6,130,9.0,9.0,128,1.6760812500000035e-05,5.751719291338842e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,6,130,10.0,10.0,128,1.635962500000004e-05,5.49672913385822e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,6,130,11.0,11.0,128,1.622975000000004e-05,6.427811023622208e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,6,130,12.0,12.0,128,1.5866000000000034e-05,4.5797795275591716e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,6,130,13.0,13.0,128,1.560593750000004e-05,4.4681318897639385e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,6,130,14.0,14.0,128,1.5362875000000037e-05,6.050039370078811e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,6,130,15.0,15.0,128,1.4807062500000037e-05,3.776163385826951e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,6,130,16.0,16.0,128,1.4411875000000037e-05,6.129787401574701e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,6,130,17.0,17.0,128,1.4178875000000036e-05,4.470096062992288e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,6,130,18.0,18.0,128,1.380281250000004e-05,5.609483070866046e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,6,130,19.0,19.0,128,1.3715187500000033e-05,4.393558661417523e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,6,130,20.0,20.0,128,1.3504437500000037e-05,3.6118484251968935e-14,0.0,0.0,0.0
